hand,2_win,3_win,4_win,5_win,6_win,7_win,8_win,9_win,10_win,2_tie,3_tie,4_tie,5_tie,6_tie,7_tie,8_tie,9_tie,10_tie,EV_2p,rec_2p,tag_2p,EV_3p,rec_3p,tag_3p,EV_4p,rec_4p,tag_4p,EV_5p,rec_5p,tag_5p,EV_6p,rec_6p,tag_6p,EV_7p,rec_7p,tag_7p,EV_8p,rec_8p,tag_8p,EV_9p,rec_9p,tag_9p,EV_10p,rec_10p,tag_10p
AAo,0.8493351936340332,0.732083261,0.6360993981361389,0.5564618706703186,0.4896424412727356,0.4331477880477905,0.3850662112236023,0.343962163,0.3087176382541656,0.002714598,0.002298393,0.00222807,0.002232254,0.002244483,0.002240457,0.00222217,0.002185994,0.002136496,0.7013849853537977,Raise,Premium,1.199697373,Raise,Premium,1.548853733111173,Raise,Premium,1.7878899895586073,Raise,Premium,1.9445880951825525,Raise,Premium,2.0398761153919622,Raise,Premium,2.089418370276689,Raise,Premium,2.105496437870897,Raise,Premium,2.0978588620200744,Raise,Premium
AKs,0.6622280478477478,0.4983755946159363,0.4053168296813965,0.3451115787029266,0.3017732203006744,0.2681705951690674,0.2407872229814529,0.2178315669298172,0.1982612311840057,0.008248093,0.008863197,0.008954075,0.008912911,0.008854891,0.008799721,0.008748428,0.008695702,0.008629307,0.3327041883021593,Raise,Strong,0.5084215789102018,Raise,Premium,0.6391754690557718,Raise,Premium,0.7478401702828703,Raise,Premium,0.8372039953246706,Raise,Premium,0.9079931881278753,Raise,Premium,0.9612914957106107,Raise,Premium,0.9996147616766391,Raise,Premium,1.0257588475942607,Raise,Premium
AQs,0.6531481742858887,0.4841588735580444,0.3882044553756714,0.3265582621097564,0.2827785611152649,0.2494464814662933,0.2228260040283203,0.2009428143501281,0.1826409846544265,0.008944985,0.010003522,0.010324421,0.010381376,0.010337202,0.010246296,0.010120482,0.009967847,0.009792629,0.31524133402854204,Raise,Strong,0.4674819037318225,Raise,Strong,0.5734666641801596,Raise,Premium,0.6587447514757512,Raise,Premium,0.7276829723268745,Raise,Premium,0.781987408,Raise,Premium,0.8230899609625337,Raise,Premium,0.8533406397327772,Raise,Premium,0.8753729900345193,Raise,Premium
AJs,0.6439904570579529,0.4706133902072906,0.3727810978889465,0.3105872571468353,0.26701805,0.2343176454305648,0.2086205929517746,0.187801257,0.1706530153751373,0.009953323,0.011357615,0.011772314,0.011839466,0.011776326,0.011643861,0.011462462,0.011241918,0.010983551,0.2979342369362712,Call,Strong,0.4288765927776692,Raise,Strong,0.5146690197288988,Raise,Premium,0.5825349511578679,Raise,Premium,0.6374372784048312,Raise,Premium,0.6809770329855374,Raise,Premium,0.7148145921528335,Raise,Premium,0.7407999439164994,Raise,Premium,0.7614479083567851,Raise,Premium
ATs,0.6349000334739685,0.4578822255134582,0.3589692711830139,0.2968663871288299,0.2539070844650268,0.2220746576786041,0.1973362118005752,0.1775141209363937,0.161338523,0.011137356,0.012816098,0.013231087,0.013248977,0.013147254,0.012982345,0.012764311,0.012501174,0.012189943,0.28093742299824953,Call,Strong,0.3928708229213951,Raise,Strong,0.4623392578214407,Raise,Strong,0.5174543787725265,Raise,Premium,0.5628842702135437,Raise,Premium,0.5999608119018374,Raise,Premium,0.6297469399869435,Raise,Premium,0.6538823698647316,Raise,Premium,0.6743349470198148,Raise,Premium
A9s,0.6150855422019958,0.431089312,0.3305956125259399,0.2691122889518738,0.2275779992341995,0.197454885,0.1744754165410995,0.1563691943883896,0.1417963355779647,0.012715619,0.014419861,0.014472788,0.014109429,0.013687617,0.013262598,0.012829584,0.012386222,0.011916689,0.24288670346140862,Call,Strong,0.31489772722125053,Raise,Strong,0.35132802650332406,Raise,Strong,0.3808350171893835,Raise,Strong,0.4065308468416331,Raise,Strong,0.4286032849922772,Raise,Strong,0.44712166860699587,Raise,Strong,0.46306075016036585,Raise,Strong,0.47754679899662644,Raise,Strong
A8s,0.6051072478294373,0.4189857244491577,0.3187122642993927,0.2579517364501953,0.2173002809286117,0.1880651116371154,0.1659508198499679,0.1486718952655792,0.1348741054534912,0.014355808,0.016150106,0.016040893,0.015523531,0.01496835,0.014429394,0.013886938,0.013324801,0.012738902,0.22457030415534973,Call,Strong,0.28118233196437337,Call,Strong,0.3069308437407017,Raise,Strong,0.3285675086081026,Raise,Strong,0.3487067343667143,Raise,Strong,0.36695866100490004,Raise,Strong,0.3831543102860444,Raise,Strong,0.39800866134464674,Raise,Strong,0.4124355651438236,Raise,Strong
A7s,0.5938359498977661,0.4062325060367584,0.3068106174468994,0.2473563849925995,0.2079947292804718,0.1799100935459137,0.1588066667318344,0.1424023360013961,0.1293694227933883,0.015971154,0.017609937,0.017234037,0.016545996,0.01589389,0.015287735,0.0146814,0.014057829,0.013406981,0.2036430537700653,Call,Strong,0.24511242378503084,Call,Strong,0.2617105431854725,Call,Strong,0.2781469151377678,Call,Strong,0.2956500444561243,Call,Strong,0.3128777258098123,Raise,Strong,0.32917893305420853,Raise,Strong,0.34488125471398146,Raise,Strong,0.3607291318476191,Raise,Strong
A6s,0.5818098187446594,0.3930526673793793,0.2950049638748169,0.2373465150594711,0.199637085,0.1729613095521927,0.1530378311872482,0.1376093924045562,0.1253664791584015,0.017266588,0.018572392,0.017887784,0.017055178,0.016355749,0.015739139,0.015132788,0.014499545,0.013834108,0.18088622577488422,Call,Strong,0.20701659005135298,Call,Strong,0.21579542383551598,Call,Strong,0.22937052045017436,Call,Strong,0.24688975885510378,Call,Strong,0.2658161539584396,Call,Strong,0.2848338000476356,Call,Strong,0.3037324845790854,Raise,Strong,0.3228353299200535,Raise,Strong
A5s,0.5806291699409485,0.3945885598659515,0.29851073,0.2418807446956634,0.2046130299568176,0.1780294626951217,0.1580131649971008,0.1423954963684082,0.1299110651016235,0.018582867,0.019741129,0.018902494,0.017996067,0.017250612,0.0165985,0.015952155,0.015275397,0.014562198,0.1798412073403597,Call,Strong,0.21337737329304196,Call,Strong,0.23184790834784486,Call,Strong,0.2543938914313908,Call,Strong,0.2794300168752668,Call,Strong,0.30430099,Raise,Strong,0.3279139399528501,Raise,Strong,0.35029875533655286,Raise,Strong,0.3719216408208006,Raise,Strong
A4s,0.5713967084884644,0.3854462802410126,0.2909956276416778,0.2359633594751358,0.1999978423118591,0.174453005,0.1552421301603317,0.1402723640203476,0.1283136904239654,0.018953132,0.019779086,0.0186786,0.017603349,0.016738789,0.015996838,0.015280342,0.014545882,0.013788104,0.16174654848873615,Call,Strong,0.18600746989250183,Call,Strong,0.20133971050381616,Call,Strong,0.22382517,Call,Strong,0.2502034213393922,Call,Strong,0.2771599693223834,Call,Strong,0.30305840820074037,Raise,Strong,0.32790774572640613,Raise,Strong,0.35207742452621416,Raise,Strong
A3s,0.563364565,0.3772681653499603,0.2841570973396301,0.2305671721696853,0.1958121061325073,0.1712253242731094,0.1527556031942367,0.1383378207683563,0.1268021911382675,0.018845141,0.019428881,0.018162416,0.016961969,0.01600313,0.01518147,0.014403512,0.013626531,0.012840184,0.14557427167892456,Call,Strong,0.1609478173777461,Call,Strong,0.17295322194695473,Call,Strong,0.19524078443646387,Call,Strong,0.2228820268064735,Call,Strong,0.2517124139703806,Call,Strong,0.279658873,Call,Strong,0.30635977536439873,Raise,Strong,0.3322228332981465,Raise,Strong
A2s,0.5550705194473267,0.3685745894908905,0.276679665,0.2243967652320861,0.1907401978969574,0.1669795960187912,0.1491453349590301,0.1351929605007171,0.1240027993917465,0.018723296,0.019085428,0.017655363,0.016336277,0.015280992,0.014383683,0.013544264,0.012722586,0.0119079,0.12886433489620686,Call,Strong,0.1343519100919366,Call,Strong,0.14202938601374604,Call,Strong,0.1628245189785953,Call,Strong,0.19028416275978088,Call,Strong,0.21920006256550528,Call,Strong,0.24733973667025522,Call,Strong,0.2739882827736433,Call,Strong,0.29956749267876104,Call,Strong
KAo,0.6447227001190186,0.4728755056858063,0.3760356605052948,0.3138226866722107,0.2692409157752991,0.234762043,0.2067071497440338,0.1832102835178375,0.163190484,0.008504751,0.009247838,0.00935111,0.009297327,0.009223016,0.009150854,0.009084262,0.009016871,0.008936938,0.2979501513764262,Call,Strong,0.43249827343970537,Raise,Strong,0.522844862,Raise,Premium,0.5923567512072623,Raise,Premium,0.6431145425885914,Raise,Premium,0.6753622894175348,Raise,Premium,0.6899942457675934,Raise,Premium,0.6894684731960292,Raise,Premium,0.6765895299613471,Raise,Premium
